portfolio_date,portfolio_pnl,portfolio_loss,position_pnl_sum,nav,funded_market_value,gross_funded_exposure,overlay_notional,rebalanced,holdings_version
2023-05-31,5998.923818842509,-5998.923818842509,5998.923818842509,9913228.564867686,9913228.564867686,9913228.564867686,749966.7045792842,False,5
2023-06-01,2718.0652133715093,-2718.0652133715093,2718.0652133715093,9915946.630081058,9915946.630081058,9915946.630081058,743695.9972560793,True,6
2023-06-02,-21758.044428407018,21758.044428407018,-21758.044428407018,9894188.58565265,9894188.58565265,9894188.58565265,743695.9972560793,False,6
2023-06-05,-60774.70098726041,60774.70098726041,-60774.70098726041,9833413.88466539,9833413.88466539,9833413.88466539,743695.9972560793,False,6
2023-06-06,15371.208580613711,-15371.208580613711,15371.208580613711,9848785.093246004,9848785.093246004,9848785.093246004,743695.9972560793,False,6
2023-06-07,20844.787359216643,-20844.787359216643,20844.787359216643,9869629.88060522,9869629.88060522,9869629.88060522,743695.9972560793,False,6
2023-06-08,-10129.96302516615,10129.96302516615,-10129.96302516615,9859499.917580053,9859499.917580053,9859499.917580053,743695.9972560793,False,6
2023-06-09,-23409.644973497107,23409.644973497107,-23409.644973497107,9836090.27260656,9836090.27260656,9836090.27260656,743695.9972560793,False,6
2023-06-12,21832.51575182728,-21832.51575182728,21832.51575182728,9857922.788358387,9857922.788358387,9857922.788358387,743695.9972560793,False,6
2023-06-13,-53942.836076517706,53942.836076517706,-53942.836076517706,9803979.952281868,9803979.952281868,9803979.952281868,743695.9972560793,False,6
2023-06-14,-28969.72866778297,28969.72866778297,-28969.72866778297,9775010.223614084,9775010.223614084,9775010.223614084,743695.9972560793,False,6
2023-06-15,-81951.4082726256,81951.4082726256,-81951.4082726256,9693058.815341458,9693058.815341458,9693058.815341458,743695.9972560793,False,6
2023-06-16,78558.27087629562,-78558.27087629562,78558.27087629562,9771617.086217755,9771617.086217755,9771617.086217755,743695.9972560793,False,6
2023-06-19,-56582.326849541714,56582.326849541714,-56582.326849541714,9715034.759368213,9715034.759368213,9715034.759368213,743695.9972560793,False,6
2023-06-20,-26643.71316963755,26643.71316963755,-26643.71316963755,9688391.046198575,9688391.046198575,9688391.046198575,743695.9972560793,False,6
2023-06-21,-2325.634639271254,2325.634639271254,-2325.634639271254,9686065.411559304,9686065.411559304,9686065.411559304,743695.9972560793,False,6
2023-06-22,7915.8306411285985,-7915.8306411285985,7915.8306411285985,9693981.242200432,9693981.242200432,9693981.242200432,743695.9972560793,False,6
2023-06-23,-16710.655231867793,16710.655231867793,-16710.655231867793,9677270.586968563,9677270.586968563,9677270.586968563,743695.9972560793,False,6
2023-06-26,-46403.52863244182,46403.52863244182,-46403.52863244182,9630867.058336124,9630867.058336124,9630867.058336124,743695.9972560793,False,6
2023-06-27,-3506.655520670987,3506.655520670987,-3506.655520670987,9627360.402815452,9627360.402815452,9627360.402815452,743695.9972560793,False,6
2023-06-28,-52667.35698913941,52667.35698913941,-52667.35698913941,9574693.045826312,9574693.045826312,9574693.045826312,743695.9972560793,False,6
2023-06-29,71536.27715697189,-71536.27715697189,71536.27715697189,9646229.322983284,9646229.322983284,9646229.322983284,743695.9972560793,False,6
2023-06-30,13694.775117433759,-13694.775117433759,13694.775117433759,9659924.098100718,9659924.098100718,9659924.098100718,743695.9972560793,False,6
2023-07-03,-39968.32301654435,39968.32301654435,-39968.32301654435,9619955.775084173,9619955.775084173,9619955.775084173,721496.683131313,True,7
2023-07-04,9901.30120063177,-9901.30120063177,9901.30120063177,9629857.076284805,9629857.076284805,9629857.076284805,721496.683131313,False,7
2023-07-05,53419.923669445525,-53419.923669445525,53419.923669445525,9683276.999954252,9683276.999954252,9683276.999954252,721496.683131313,False,7
2023-07-06,-20451.3617176835,20451.3617176835,-20451.3617176835,9662825.63823657,9662825.63823657,9662825.63823657,721496.683131313,False,7
2023-07-07,-53026.81282222556,53026.81282222556,-53026.81282222556,9609798.825414343,9609798.825414343,9609798.825414343,721496.683131313,False,7
2023-07-10,-75711.81922762984,75711.81922762984,-75711.81922762984,9534087.006186713,9534087.006186713,9534087.006186713,721496.683131313,False,7
2023-07-11,19072.636447467197,-19072.636447467197,19072.636447467197,9553159.64263418,9553159.64263418,9553159.64263418,721496.683131313,False,7
2023-07-12,32917.69080999977,-32917.69080999977,32917.69080999977,9586077.333444178,9586077.333444178,9586077.333444178,721496.683131313,False,7
2023-07-13,23486.651573003113,-23486.651573003113,23486.651573003113,9609563.985017182,9609563.985017182,9609563.985017182,721496.683131313,False,7
2023-07-14,-22248.91767947198,22248.91767947198,-22248.91767947198,9587315.06733771,9587315.06733771,9587315.06733771,721496.683131313,False,7
2023-07-17,-4860.582453238784,4860.582453238784,-4860.582453238784,9582454.484884473,9582454.484884473,9582454.484884473,721496.683131313,False,7
2023-07-18,-35653.98373065214,35653.98373065214,-35653.98373065214,9546800.50115382,9546800.50115382,9546800.50115382,721496.683131313,False,7
2023-07-19,31093.349662186534,-31093.349662186534,31093.349662186534,9577893.850816008,9577893.850816008,9577893.850816008,721496.683131313,False,7
2023-07-20,-55095.67123365785,55095.67123365785,-55095.67123365785,9522798.17958235,9522798.17958235,9522798.17958235,721496.683131313,False,7
2023-07-21,12379.575138172584,-12379.575138172584,12379.575138172584,9535177.75472052,9535177.75472052,9535177.75472052,721496.683131313,False,7
2023-07-24,-74117.70844864273,74117.70844864273,-74117.70844864273,9461060.046271877,9461060.046271877,9461060.046271877,721496.683131313,False,7
2023-07-25,14948.573025916061,-14948.573025916061,14948.573025916061,9476008.619297795,9476008.619297795,9476008.619297795,721496.683131313,False,7
2023-07-26,27761.007593843526,-27761.007593843526,27761.007593843526,9503769.62689164,9503769.62689164,9503769.62689164,721496.683131313,False,7
2023-07-27,5960.645184962023,-5960.645184962023,5960.645184962023,9509730.2720766,9509730.2720766,9509730.2720766,721496.683131313,False,7
2023-07-28,-18213.373020796575,18213.373020796575,-18213.373020796575,9491516.899055803,9491516.899055803,9491516.899055803,721496.683131313,False,7
2023-07-31,79535.3204342939,-79535.3204342939,79535.3204342939,9571052.219490098,9571052.219490098,9571052.219490098,721496.683131313,False,7
2023-08-01,27115.02856145411,-27115.02856145411,27115.02856145411,9598167.248051554,9598167.248051554,9598167.248051554,719862.5436038665,True,8
