forecast_date,realized_date,expected_next_date,max_input_date,confidence,lookback,holdings_version,model_version,hypothetical_pnl,realized_loss,principal_contributor,model,var,es,exception,breach_magnitude,seed
2024-02-16,2024-02-19,2024-02-19,2024-02-16,0.99,250,14,1.1.0,-14813.3173533161,14813.3173533161,EFA,Parametric Normal,90181.95645125998,103318.2678457335,False,0.0,
2024-02-16,2024-02-19,2024-02-19,2024-02-16,0.99,250,14,1.1.0,-14813.3173533161,14813.3173533161,EFA,Monte Carlo Normal,90207.201068023,102286.16441100057,False,0.0,292000918.0
2024-02-19,2024-02-20,2024-02-20,2024-02-19,0.99,250,14,1.1.0,75718.28376900217,-75718.28376900217,US10Y,Historical,105230.95847774534,110130.57843374513,False,0.0,
2024-02-19,2024-02-20,2024-02-20,2024-02-19,0.99,250,14,1.1.0,75718.28376900217,-75718.28376900217,US10Y,Parametric Normal,89358.2231267363,102374.54580192763,False,0.0,
2024-02-19,2024-02-20,2024-02-20,2024-02-19,0.99,250,14,1.1.0,75718.28376900217,-75718.28376900217,US10Y,Monte Carlo Normal,89795.90548236227,100331.45784232128,False,0.0,293000921.0
2024-02-20,2024-02-21,2024-02-21,2024-02-20,0.99,250,14,1.1.0,-23713.98436944196,23713.98436944196,EFA,Historical,106563.95025350667,111945.79501620975,False,0.0,
2024-02-20,2024-02-21,2024-02-21,2024-02-20,0.99,250,14,1.1.0,-23713.98436944196,23713.98436944196,EFA,Parametric Normal,91245.3731383908,104536.58661410026,False,0.0,
2024-02-20,2024-02-21,2024-02-21,2024-02-20,0.99,250,14,1.1.0,-23713.98436944196,23713.98436944196,EFA,Monte Carlo Normal,94203.2421395854,106975.91920062083,False,0.0,294000924.0
2024-02-21,2024-02-22,2024-02-22,2024-02-21,0.99,250,14,1.1.0,-44532.55681767624,44532.55681767624,SPY,Historical,105704.07074487241,110547.70631539696,False,0.0,
2024-02-21,2024-02-22,2024-02-22,2024-02-21,0.99,250,14,1.1.0,-44532.55681767624,44532.55681767624,SPY,Parametric Normal,90533.02762958068,103720.47763871196,False,0.0,
2024-02-21,2024-02-22,2024-02-22,2024-02-21,0.99,250,14,1.1.0,-44532.55681767624,44532.55681767624,SPY,Monte Carlo Normal,89758.99617389572,102827.57803559644,False,0.0,295000927.0
